Unnamed: 0,ML_correction,charges,dftb_title,dftb_energy,orca_energy
0,0,"{1: -0.2062455, 2: -0.07710098, 3: 0.09017105, 4: 0.0980419, 5: 0.09132186, 6: -0.18460881, 7: -0.37747819, 8: 0.08970457, 9: 0.08775686, 10: 0.09059549, 11: -0.1554918, 12: -0.81200354, 13: 0.08805098, 14: 0.08921508, 15: 0.08807103}",CCE_first10/structure_00014.xyz,-15.83904614,-47.51713841
9,0,"{1: -0.20820894, 2: -0.07631251, 3: 0.09019447, 4: 0.0976565, 5: 0.09134442, 6: -0.18461787, 7: -0.39002105, 8: 0.08969446, 9: 0.08766099, 10: 0.09045385, 11: -0.1567368, 12: -0.79647429, 13: 0.08803031, 14: 0.08925754, 15: 0.08807891}",CCE_first10/structure_00013.xyz,-15.83323217,-47.49969651
15,0,"{1: -0.23663868, 2: -0.0656332, 3: 0.09048217, 4: 0.09283049, 5: 0.09163689, 6: -0.18490889, 7: -0.52288635, 8: 0.08956438, 9: 0.0867502, 10: 0.08883363, 11: -0.17538785, 12: -0.61983832, 13: 0.08712242, 14: 0.08982937, 15: 0.08824374}",CCE_first10/structure_00003.xyz,-15.76234803,-47.28704409
14,0,"{1: -0.20273471, 2: -0.07868865, 3: 0.09012684, 4: 0.0987561, 5: 0.09127975, 6: -0.18459453, 7: -0.35318628, 8: 0.08972325, 9: 0.08794741, 10: 0.09086593, 11: -0.1532717, 12: -0.84148933, 13: 0.08807164, 14: 0.08913461, 15: 0.08805965}",CCE_first10/structure_00016.xyz,-15.85018036,-47.55054108
13,0,"{1: -0.24043076, 2: -0.0638575, 3: 0.09051688, 4: 0.09226856, 5: 0.0916741, 6: -0.18497458, 7: -0.53617613, 8: 0.08954872, 9: 0.08667001, 10: 0.08865507, 11: -0.17799359, 12: -0.60101798, 13: 0.08694809, 14: 0.08989566, 15: 0.08827344}",CCE_first10/structure_00002.xyz,-15.75359315,-47.26077944
12,0,"{1: -0.22958798, 2: -0.06861355, 3: 0.09041613, 4: 0.09391981, 5: 0.09156729, 6: -0.18480483, 7: -0.49603084, 8: 0.08959441, 9: 0.08691869, 10: 0.08918337, 11: -0.17062615, 12: -0.65725704, 13: 0.08742346, 14: 0.08969553, 15: 0.08820168}",CCE_first10/structure_00005.xyz,-15.77879374,-47.33638122
11,0,"{1: -0.22324163, 2: -0.07099878, 3: 0.0903546, 4: 0.09495489, 5: 0.09150378, 6: -0.18473016, 7: -0.4690476, 8: 0.08962254, 9: 0.08709612, 10: 0.08952164, 11: -0.16642567, 12: -0.69400248, 13: 0.08766021, 14: 0.08957595, 15: 0.0881566}",CCE_first10/structure_00007.xyz,-15.79395233,-47.38185698
10,0,"{1: -0.24440397, 2: -0.06185563, 3: 0.09055279, 4: 0.09169719, 5: 0.09171307, 6: -0.18505042, 7: -0.54934608, 8: 0.08953264, 9: 0.08659265, 10: 0.08847415, 11: -0.18075593, 12: -0.58216689, 13: 0.08675309, 14: 0.08996412, 15: 0.08829921}",CCE_first10/structure_00001.xyz,-15.74444483,-47.23333448
8,0,"{1: -0.21031964, 2: -0.07551683, 3: 0.0902188, 4: 0.0972519, 5: 0.09136806, 6: -0.18462881, 7: -0.40279711, 8: 0.0896838, 9: 0.08756513, 10: 0.09030804, 11: -0.15808068, 12: -0.78044556, 13: 0.08799997, 14: 0.08930763, 15: 0.0880853}",CCE_first10/structure_00012.xyz,-15.82723307,-47.48169922
1,0,"{1: -0.24855936, 2: -0.05960118, 3: 0.09058992, 4: 0.09111726, 5: 0.09175383, 6: -0.18513759, 7: -0.56236265, 8: 0.08951619, 9: 0.08651842, 10: 0.08829112, 11: -0.18368341, 12: -0.56334527, 13: 0.08654152, 14: 0.09003449, 15: 0.0883267}",CCE_first10/structure_00000.xyz,-15.73488051,-47.20464153
