,dftb_energy,dftb_structure,orca_structure,orca_energy
0,-15.7501645904,Structures/S1.xyz,Structures/S1.xyz,-1314.06064061
1,-15.7564356231,Structures/S4.xyz,Structures/S4.xyz,-1314.0800375
2,-15.7564361218,Structures/S10.xyz,Structures/S10.xyz,-1314.10986401
3,-15.7564406487,Structures/S8.xyz,Structures/S8.xyz,-1314.10103667
4,-15.7564410114,Structures/S5.xyz,Structures/S5.xyz,-1314.08575772
5,-15.7564410619,Structures/S6.xyz,Structures/S6.xyz,-1314.09114845
6,-15.756441106,Structures/S2.xyz,Structures/S2.xyz,-1314.0675103
7,-15.7564412935,Structures/S9.xyz,Structures/S9.xyz,-1314.10557422
8,-15.7564433135,Structures/S3.xyz,Structures/S3.xyz,-1314.07396629
9,-15.7564446973,Structures/S7.xyz,Structures/S7.xyz,-1314.09623566
